region_key,date,PM10_avg,PM25_avg,ws_avg,ta_avg,hm_avg,pa_avg,rn_day,month,season,dayofweek,PM25_lag1,PM25_lag7
강원,2023-01-08,89.0920716112532,55.000639386189256,0.8,-1.2,85.79999999999998,1016.3999999999999,0.0,1,1,6,61.223027079894855,29.952604828462515
강원,2023-01-09,69.80581724581725,34.53457831008851,0.9000000000000001,1.6,70.1,1015.3,0.0,1,1,0,55.000639386189256,13.506310444874275
강원,2023-01-10,41.43205128205128,21.234615384615385,0.8,-1.8,76.8,1020.0,0.0,1,1,1,34.53457831008851,15.271865474497053
강원,2023-01-11,42.42536689578302,26.2771688649452,0.8,-1.5,78.0,1017.4,0.0,1,1,2,21.234615384615385,15.7052808936897
강원,2023-01-12,44.695708712613786,26.695708712613783,0.7,-0.1,71.1,1014.7,0.0,1,1,3,26.2771688649452,26.236058527663467
강원,2023-01-13,18.583015267175572,14.196755725190839,0.6,2.6,98.5,1003.9,28.6,1,1,4,26.695708712613783,40.345222929936305
강원,2023-01-14,11.984943538268507,8.17667753393718,2.0,4.0,90.29999999999998,1006.3,2.4,1,1,5,14.196755725190839,61.223027079894855
강원,2023-01-15,6.810505319148936,5.167242907801419,1.8000000000000003,0.9000000000000001,93.79999999999998,1008.5,13.2,1,1,6,8.17667753393718,55.000639386189256
강원,2023-01-16,17.50597609561753,13.558942009738823,2.0,-3.6999999999999997,75.3,1015.4,0.0,1,1,0,5.167242907801419,34.53457831008851
강원,2023-01-17,28.041721854304637,19.088410596026492,0.9,-5.0,79.6,1017.8,0.0,1,1,1,13.558942009738823,21.234615384615385
강원,2023-01-18,42.49216404467395,24.52972258916777,1.0,-3.8,78.6,1017.0,0.0,1,1,2,19.088410596026492,26.2771688649452
강원,2023-01-19,49.96729765013055,23.798825065274155,0.9,-4.3,82.6,1014.5,0.6,1,1,3,24.52972258916777,26.695708712613783
강원,2023-01-20,58.13326848249027,19.154715582731146,2.7,-3.7,51.4,1016.7,1.3,1,1,4,23.798825065274155,14.196755725190839
강원,2023-01-21,18.79923273657289,9.593989769820972,1.1,-8.3,64.1,1021.7,0.0,1,1,5,19.154715582731146,8.17667753393718
강원,2023-01-22,31.695652173913043,15.80690537084399,0.9000000000000001,-4.4,72.5,1017.8999999999999,0.0,1,1,6,9.593989769820972,5.167242907801419
강원,2023-01-23,50.49744245524297,25.45907928388747,1.4,-1.8000000000000003,62.89999999999999,1013.3999999999999,0.0,1,1,0,15.80690537084399,13.558942009738823
강원,2023-01-24,24.388746803069054,11.566496163682864,3.1000000000000005,-13.5,42.10000000000001,1017.8,0.0,1,1,1,25.45907928388747,19.088410596026492
강원,2023-01-25,18.39819004524887,8.636524492456696,1.5,-13.0,49.60000000000001,1020.8,0.0,1,1,2,11.566496163682864,24.52972258916777
강원,2023-01-26,22.473449447748514,15.277309139458673,0.8,-7.6,70.5,1015.1,0.1,1,1,3,8.636524492456696,23.798825065274155
강원,2023-01-27,31.283854166666668,19.701171875,1.8,-8.4,61.4,1012.2000000000002,0.0,1,1,4,15.277309139458673,19.154715582731146
강원,2023-01-28,37.170076726342714,12.803708439897699,1.6,-8.3,57.60000000000001,1012.3,0.0,1,1,5,19.701171875,9.593989769820972
강원,2023-01-29,36.51918158567775,14.294117647058824,1.0,-6.0,77.1,1009.8,1.4,1,1,6,12.803708439897699,15.80690537084399
강원,2023-01-30,37.08887096774193,16.822258064516127,0.9,-4.3,67.6,1013.3,0.0,1,1,0,14.294117647058824,25.45907928388747
강원,2023-01-31,33.813505747126435,17.499222504947696,0.7,-3.2,71.6,1009.2,0.0,1,1,1,16.822258064516127,11.566496163682864
강원,2023-02-01,49.86329113924051,28.796835443037974,1.7,-0.8,63.0,1009.4,0.0,2,1,2,17.499222504947696,8.636524492456696
강원,2023-02-02,36.06506849315068,20.99719800747198,1.0,-3.9,60.9,1017.2000000000002,0.0,2,1,3,28.796835443037974,15.277309139458673
강원,2023-02-03,34.30579800498753,19.20554862842893,1.2,-2.5,53.0,1013.7,0.0,2,1,4,20.99719800747198,19.701171875
강원,2023-02-04,34.97639751552795,22.11863354037267,1.2,-3.2,60.0,1015.2,0.0,2,1,5,19.20554862842893,12.803708439897699
강원,2023-02-05,49.67039800995025,37.19847192608386,1.2,-2.1,70.3,1015.7,0.0,2,1,6,22.11863354037267,14.294117647058824
강원,2023-02-06,69.4255715946522,51.461635341987986,0.6,-1.3,77.5,1013.8,0.0,2,1,0,37.19847192608386,16.822258064516127
강원,2023-02-07,60.249146393512596,43.118971404182666,0.5,-0.5,77.4,1012.7,0.0,2,1,1,51.461635341987986,17.499222504947696
강원,2023-02-08,56.15014546965918,41.093516209476306,0.8,-0.3,67.0,1016.7,0.0,2,1,2,43.118971404182666,28.796835443037974
강원,2023-02-09,33.163803680981594,21.575766871165644,1.8,1.4,58.1,1018.7,0.0,2,1,3,41.093516209476306,20.99719800747198
강원,2023-02-10,18.38180169286578,14.037787182587666,1.1,1.9,81.6,1011.7,1.1,2,1,4,21.575766871165644,19.20554862842893
강원,2023-02-11,31.870772946859905,25.265700483091788,0.8000000000000002,-0.6999999999999998,86.0,1014.7999999999998,0.0,2,1,5,14.037787182587666,22.11863354037267
강원,2023-02-12,45.910628019323674,35.06521739130435,1.2,1.6000000000000003,77.4,1013.4,0.0,2,1,6,25.265700483091788,37.19847192608386
강원,2023-02-13,21.301088270858525,14.760278113663846,2.2,4.4,65.0,1010.0,0.0,2,1,0,35.06521739130435,51.461635341987986
강원,2023-02-14,14.680137463024186,9.560901339829476,1.7,0.2,65.4,1014.0,0.0,2,1,1,14.760278113663846,43.118971404182666
강원,2023-02-15,14.172422172422174,8.546932796932797,2.1,0.9,56.0,1020.4,0.0,2,1,2,9.560901339829476,41.093516209476306
강원,2023-02-16,21.320449897750514,14.828936605316974,1.6,0.0,69.8,1021.0,0.0,2,1,3,8.546932796932797,21.575766871165644
강원,2023-02-17,48.3656447610662,33.396161850636354,0.9,0.8,67.8,1018.5,0.0,2,1,4,14.828936605316974,14.037787182587666
강원,2023-02-18,61.28819875776397,43.73913043478261,0.7,1.4,71.5,1011.5,0.0,2,1,5,33.396161850636354,25.265700483091788
강원,2023-02-19,42.44278606965174,32.4863184079602,2.2,3.2,50.9,1008.6,0.0,2,1,6,43.73913043478261,35.06521739130435
강원,2023-02-20,33.767261146496814,8.997452229299363,2.1,-1.0,42.0,1016.0,0.0,2,1,0,32.4863184079602,14.760278113663846
강원,2023-02-21,24.457177974434614,11.768633235004916,1.0,-2.3,47.6,1024.7,0.0,2,1,1,8.997452229299363,9.560901339829476
강원,2023-02-22,30.366707616707618,17.07923832923833,1.3,-0.1,50.3,1020.5,0.0,2,1,2,11.768633235004916,8.546932796932797
강원,2023-02-23,53.65072639225182,34.18523002421308,1.1,2.0,55.8,1014.2,0.0,2,1,3,17.07923832923833,14.828936605316974
강원,2023-02-24,55.2746185852982,35.983443134535364,1.4,1.8,54.9,1014.3,0.0,2,1,4,34.18523002421308,33.396161850636354
강원,2023-02-25,30.014492753623188,17.282608695652176,1.1,-0.3,52.29999999999999,1021.6,0.0,2,1,5,35.983443134535364,43.73913043478261
강원,2023-02-26,30.27536231884058,16.93719806763285,1.0,0.4000000000000001,50.1,1026.7,0.0,2,1,6,17.282608695652176,32.4863184079602
강원,2023-02-27,35.045796875,21.207203125,1.2,2.9,49.6,1024.2,0.0,2,1,0,16.93719806763285,8.997452229299363
강원,2023-02-28,36.80222496909765,24.08467243510507,2.0,3.3,59.1,1017.5,0.0,2,1,1,21.207203125,11.768633235004916
강원,2023-03-01,35.059178743961354,21.019927536231883,1.8999999999999997,4.1,51.5,1012.1,0.0,3,2,2,24.08467243510507,17.07923832923833
강원,2023-03-02,45.6590084643289,11.234885126964933,1.9,1.9,32.4,1016.8999999999999,0.0,3,2,3,21.019927536231883,34.18523002421308
강원,2023-03-03,48.9785105272316,19.82590917000174,1.5,2.3,60.9,1018.1,0.0,3,2,4,11.234885126964933,35.983443134535364
강원,2023-03-04,63.009661835748794,37.03683574879227,0.8000000000000002,4.7,65.4,1019.6,0.0,3,2,5,19.82590917000174,17.282608695652176
강원,2023-03-05,67.81763285024155,42.85386473429951,1.2,5.5,61.6,1017.7999999999998,0.0,3,2,6,37.03683574879227,16.93719806763285
강원,2023-03-06,63.53496503496503,37.75074925074925,1.2,6.1,48.6,1013.8,0.0,3,2,0,42.85386473429951,21.207203125
강원,2023-03-07,74.42978208232445,40.55496368038741,1.0,8.3,57.4,1010.8,0.0,3,2,1,37.75074925074925,24.08467243510507
강원,2023-03-08,65.63228464419475,36.20177902621723,1.1,8.0,78.1,1010.1,0.8,3,2,2,40.55496368038741,21.019927536231883
강원,2023-03-09,60.396120150187734,30.20688360450563,1.4,9.0,79.3,1006.1,1.6,3,2,3,36.20177902621723,11.234885126964933
강원,2023-03-10,81.06284848484849,29.70939393939394,0.9,9.6,66.1,1010.2,0.0,3,2,4,30.20688360450563,19.82590917000174
강원,2023-03-11,71.57608695652173,34.292270531400966,1.1,12.0,52.6,1012.2999999999998,0.0,3,2,5,29.70939393939394,37.03683574879227
강원,2023-03-12,38.789346246973366,17.40653753026634,2.2,4.4,67.9,1009.3,6.9,3,2,6,34.292270531400966,42.85386473429951
강원,2023-03-13,33.43827762732202,9.497992565055762,2.4,2.7,28.9,1012.3,0.0,3,2,0,17.40653753026634,37.75074925074925
강원,2023-03-14,51.48881856540084,13.49249547920434,1.3,6.9,42.5,1008.9,0.0,3,2,1,9.497992565055762,40.55496368038741
강원,2023-03-15,36.43659052453469,13.330039883973894,1.8999999999999997,7.599999999999999,62.1,1010.2999999999998,0.0,3,2,2,13.49249547920434,36.20177902621723
강원,2023-03-16,56.70499367888748,11.797281921618204,1.4,3.9,37.3,1018.6,0.0,3,2,3,13.330039883973894,30.20688360450563
강원,2023-03-17,34.883777239709445,11.569007263922519,1.0,5.8,37.4,1014.5,0.0,3,2,4,11.797281921618204,29.70939393939394
강원,2023-03-18,38.844921608725286,16.44723926380368,1.4,7.0,42.1,1009.0,0.0,3,2,5,11.569007263922519,34.292270531400966
강원,2023-03-19,63.45217391304348,33.40186335403727,1.4,6.8,50.8,1010.2,0.0,3,2,6,16.44723926380368,17.40653753026634
강원,2023-03-20,56.62417287014061,34.46257237386269,1.3,8.0,47.1,1006.5,0.0,3,2,0,33.40186335403727,9.497992565055762
강원,2023-03-21,55.708130328867234,29.477618757612667,0.9,10.4,43.3,1003.2,0.0,3,2,1,34.46257237386269,13.49249547920434
강원,2023-03-22,50.02713019768234,22.18786639400136,1.0,14.8,47.0,1000.9,0.0,3,2,2,29.477618757612667,13.330039883973894
강원,2023-03-23,43.108508256367195,18.803498460677304,1.4,16.3,53.3,997.6,0.0,3,2,3,22.18786639400136,11.797281921618204
강원,2023-03-24,95.2669126691267,20.126383763837637,2.9,10.800000000000002,60.4,1006.5,0.0,3,2,4,18.803498460677304,11.569007263922519
강원,2023-03-25,69.52416356877323,15.693323503814671,2.4,12.3,54.60000000000001,1008.8,0.0,3,2,5,20.126383763837637,16.44723926380368
강원,2023-03-26,64.64099378881987,17.942857142857143,2.0,10.3,36.3,1006.9,0.0,3,2,6,15.693323503814671,33.40186335403727
강원,2023-03-27,46.99503105590062,15.744099378881987,1.4,6.5,40.1,1012.1,0.0,3,2,0,17.942857142857143,34.46257237386269
강원,2023-03-28,67.92444029850746,30.39365671641791,1.5,7.5,49.9,1014.6,0.0,3,2,1,15.744099378881987,29.477618757612667
강원,2023-03-29,79.65962732919255,35.57515527950311,1.7,10.4,43.5,1012.9,0.0,3,2,2,30.39365671641791,22.18786639400136
강원,2023-03-30,47.61533665835412,19.403990024937656,1.5,12.0,36.9,1009.8,0.0,3,2,3,35.57515527950311,18.803498460677304
강원,2023-03-31,61.03035043804756,27.833291614518146,1.1,13.2,40.4,1008.9,0.0,3,2,4,19.403990024937656,20.126383763837637
